comune,elettori,votanti,percentuale
Augusta,32285,15416,47.75
Avola,27741,13222,47.66
Buccheri,2734,866,31.68
Buscemi,1121,600,53.52
Canicattini Bagni,7143,3642,50.99
Carlentini,15688,8028,51.17
Cassaro,904,403,44.58
Ferla,2506,1245,49.68
Floridia,19821,9086,45.84
Francofonte,12619,5561,44.07
Lentini,21896,8937,40.82
Melilli,12220,6550,53.6
Noto,20851,8903,42.7
Pachino,20987,8412,40.08
Palazzolo Acreide,8635,3941,45.64
Portopalo di Capo Passero,3380,1784,52.78
Priolo Gargallo,10244,6387,62.35
Rosolini,19862,9716,48.92
Siracusa,103322,50603,48.98
Solarino,7548,3273,43.36
Sortino,8208,4478,54.56
